Customer,How satisfied were you with your overall delivery experience at Ali?                    1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,How satisfied were you with the quality of the food at Alis?                             1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,How satisfied were you with the speed of delivery at Alis?                                1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,Was your order accurate? Please respond 1 or 0.,How satisfied were you with your overall delivery experience at Ali?                    1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,How satisfied were you with the quality of the food at Alis?                             1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,How satisfied were you with the speed of delivery at Alis?                                1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,Was your order accurate? Please respond 1 or 0.
1,5,3,4,1,5,3,4,1
2,3,4,3,1,3,4,3,1
3,4,5,2,1,4,5,2,1
4,5,3,4,1,5,3,4,1
5,2,5,1,1,2,5,1,1
6,5,2,5,1,5,2,5,1
7,1,4,3,1,1,4,3,1
8,3,3,2,0,3,3,2,0
9,5,1,3,1,5,1,3,1
10,3,5,3,0,3,5,3,0
11,5,3,4,1,5,3,4,1
12,2,2,5,1,2,2,5,1
13,4,5,3,0,4,5,3,0
14,3,4,2,1,3,4,2,1
15,1,5,1,1,1,5,1,1
16,5,4,5,1,5,4,5,1
17,2,2,4,1,2,2,4,1
18,4,5,4,0,4,5,4,0
19,5,1,5,1,5,1,5,1
20,2,4,4,1,2,4,4,1
21,5,5,1,1,5,5,1,1
22,3,3,3,0,3,3,3,0
23,1,5,5,1,1,5,5,1
24,5,4,4,1,5,4,4,1
25,3,3,2,1,3,3,2,1
26,2,3,4,1,2,3,4,1
27,2,2,3,0,2,2,3,0
28,4,5,4,1,4,5,4,1
29,4,1,2,1,4,1,2,1
30,3,4,5,1,3,4,5,1
31,5,5,4,1,5,5,4,1
32,3,3,4,0,3,3,4,0
33,1,2,5,1,1,2,5,1
34,5,5,1,1,5,5,1,1
35,5,1,2,1,5,1,2,1
36,2,3,3,1,2,3,3,1
37,1,5,4,1,1,5,4,1
38,5,4,3,1,5,4,3,1
39,2,2,4,0,2,2,4,0
40,3,3,2,1,3,3,2,1
41,5,5,5,1,5,5,5,1
42,3,3,3,1,3,3,3,1
43,4,4,4,1,4,4,4,1
44,5,5,5,1,5,5,5,1
45,2,2,2,1,2,2,2,1
46,5,5,5,1,5,5,5,1
47,1,1,1,1,1,1,1,1
48,3,3,3,0,3,3,3,0
49,5,5,5,1,5,5,5,1
50,3,3,3,0,3,3,3,0
51,5,5,5,1,5,5,5,1
52,2,2,2,1,2,2,2,1
53,4,4,4,0,4,4,4,0
54,3,3,3,1,3,3,3,1
55,1,1,1,1,1,1,1,1
56,5,5,5,1,5,5,5,1
57,2,2,2,1,2,2,2,1
58,4,4,4,0,4,4,4,0
59,5,5,5,1,5,5,5,1
60,2,2,2,1,2,2,2,1
61,5,5,5,1,5,5,5,1
62,3,3,3,0,3,3,3,0
63,1,1,1,1,1,1,1,1
64,5,5,5,1,5,5,5,1
65,3,3,3,1,3,3,3,1
66,2,2,2,1,2,2,2,1
67,2,2,2,0,2,2,2,0
68,4,4,4,1,4,4,4,1
69,4,4,4,1,4,4,4,1
70,3,3,3,1,3,3,3,1
71,5,5,5,1,5,5,5,1
72,3,3,3,0,3,3,3,0
73,1,1,1,1,1,1,1,1
74,5,5,5,1,5,5,5,1
75,5,5,5,1,5,5,5,1
76,2,2,2,1,2,2,2,1
77,1,1,1,1,1,1,1,1
78,5,5,5,1,5,5,5,1
79,2,2,2,0,2,2,2,0
80,3,3,3,1,3,3,3,1
81,5,5,5,1,5,5,5,1
82,3,3,3,1,3,3,3,1
83,4,4,4,1,4,4,4,1
84,5,5,5,1,5,5,5,1
85,2,2,2,1,2,2,2,1
86,5,5,5,1,5,5,5,1
87,1,1,1,1,1,1,1,1
88,3,3,3,0,3,3,3,0
89,5,5,5,1,5,5,5,1
90,3,3,3,0,3,3,3,0
91,5,5,5,1,5,5,5,1
92,2,2,2,1,2,2,2,1
93,4,4,4,0,4,4,4,0
94,3,3,3,1,3,3,3,1
95,1,1,1,1,1,1,1,1
96,5,5,5,1,5,5,5,1
97,2,2,2,1,2,2,2,1
98,4,4,4,0,4,4,4,0
99,5,5,5,1,5,5,5,1
100,2,2,2,1,2,2,2,1
101,5,5,5,1,5,5,5,1
102,3,3,3,0,3,3,3,0
103,1,1,1,1,1,1,1,1
104,5,5,5,1,5,5,5,1
105,3,3,3,1,3,3,3,1
106,2,2,2,1,2,2,2,1
107,2,2,2,0,2,2,2,0
108,4,4,4,1,4,4,4,1
109,4,4,4,1,4,4,4,1
110,3,3,3,1,3,3,3,1
111,5,5,5,1,5,5,5,1
112,3,3,3,0,3,3,3,0
113,1,1,1,1,1,1,1,1
114,5,5,5,1,5,5,5,1
115,5,5,5,1,5,5,5,1
116,2,2,2,1,2,2,2,1
117,1,1,1,1,1,1,1,1
118,5,5,5,1,5,5,5,1
119,2,2,2,0,2,2,2,0
120,3,3,3,1,3,3,3,1
121,5,5,5,1,5,5,5,1
122,3,3,3,1,3,3,3,1
123,4,4,4,1,4,4,4,1
124,5,5,5,1,5,5,5,1
125,2,2,2,1,2,2,2,1
126,5,5,5,1,5,5,5,1
127,1,1,1,1,1,1,1,1
128,3,3,3,0,3,3,3,0
129,5,5,5,1,5,5,5,1
130,3,3,3,0,3,3,3,0
131,5,5,5,1,5,5,5,1
132,2,2,2,1,2,2,2,1
133,4,4,4,0,4,4,4,0
134,3,3,3,1,3,3,3,1
135,1,1,1,1,1,1,1,1
136,5,5,5,1,5,5,5,1
137,2,2,2,1,2,2,2,1
138,4,4,4,0,4,4,4,0
139,5,5,5,1,5,5,5,1
140,2,2,2,1,2,2,2,1
141,5,5,5,1,5,5,5,1
142,3,3,3,0,3,3,3,0
143,1,1,1,1,1,1,1,1
144,5,5,5,1,5,5,5,1
145,3,3,3,1,3,3,3,1
146,2,2,2,1,2,2,2,1
147,2,2,2,0,2,2,2,0
148,4,4,4,1,4,4,4,1
149,4,4,4,1,4,4,4,1
150,3,3,3,1,3,3,3,1
151,5,5,5,1,5,5,5,1
152,3,3,3,0,3,3,3,0
153,1,1,1,1,1,1,1,1
154,5,5,5,1,5,5,5,1
155,5,5,5,1,5,5,5,1
156,2,2,2,1,2,2,2,1
157,1,1,1,1,1,1,1,1
158,5,5,5,1,5,5,5,1
159,2,2,2,0,2,2,2,0
160,3,3,3,1,3,3,3,1
161,5,5,5,1,5,5,5,1
162,3,3,3,1,3,3,3,1
163,4,4,4,1,4,4,4,1
164,5,5,5,1,5,5,5,1
165,2,2,2,1,2,2,2,1
166,5,5,5,1,5,5,5,1
167,1,1,1,1,1,1,1,1
168,3,3,3,0,3,3,3,0
169,5,5,5,1,5,5,5,1
170,3,3,3,0,3,3,3,0
171,5,5,5,1,5,5,5,1
172,2,2,2,1,2,2,2,1
173,4,4,4,0,4,4,4,0
